experiment,best_epoch,threshold,validation_macro_f1,validation_micro_f1,test_macro_f1,test_micro_f1,test_loss,training_seconds,inference_seconds_per_example,trainable_parameters,total_parameters
class_weighted,2,0.6000000000000002,0.512836660707331,0.5813781909399439,0.5057326137603909,0.5767034922517981,0.11751834425189031,1484.5942626253236,0.0015816891929558601,66975004,66975004
full_finetune,3,0.20000000000000004,0.4737269738668443,0.5978763953171794,0.4623643048518523,0.5975064371866107,0.08267267765959521,1488.0072877490893,0.0015697595434270555,66975004,66975004
frozen_encoder,5,0.15000000000000002,0.36944400875344174,0.49889042163977687,0.3578394947502076,0.49328739455863135,0.09906031301041565,347.37993083288893,0.0016341739605651644,612124,66975004
