threshold,macro_f1,micro_f1
0.1,0.29005695245536767,0.3362870651595328
0.15000000000000002,0.33066824916995446,0.3797702168532269
0.20000000000000004,0.3624035105413967,0.41396172329483183
0.25000000000000006,0.3868757430957401,0.4430604982206406
0.30000000000000004,0.4052365852169619,0.4634284245695194
0.3500000000000001,0.4226271719250282,0.4834096748966596
0.40000000000000013,0.4323525775880049,0.49641371828099573
0.45000000000000007,0.44127344159588233,0.5079571289379669
0.5000000000000001,0.4481198702561255,0.5152277172394524
0.5500000000000002,0.4444099513795459,0.5130356607731495
0.6000000000000002,0.44404234590533836,0.5071747448979592
0.6500000000000001,0.4320483559148821,0.49774679023892526
0.7000000000000002,0.4197286027472397,0.4861838540726025
