epoch,train_loss,validation_loss,validation_macro_f1,validation_micro_f1,threshold,learning_rate,training_seconds,validation_seconds
1,0.3723900431807869,0.15625561000432556,0.3110805114595999,0.4693366708385482,0.40000000000000013,0.001,1.4960214000002452,0.06756440000026487
2,0.2775090799233354,0.13921099057550848,0.38399790773578174,0.49894762907019935,0.40000000000000013,0.001,1.4827040000000125,0.06813859999965644
3,0.24003158923640994,0.13531191971110454,0.42139497345403065,0.5124267528793696,0.45000000000000007,0.001,1.522356100000252,0.0705551999999443
4,0.2127575041305302,0.13029403422663582,0.43948332367396964,0.5132564841498559,0.5000000000000001,0.001,1.5135718000001361,0.06956290000016452
5,0.1905979262789777,0.13002745760759216,0.44244683154608777,0.513354251167062,0.5500000000000002,0.001,1.4835186999989673,0.06872520000069926
6,0.17276453409181766,0.12635765692931103,0.4430666461854756,0.5146565553449031,0.5000000000000001,0.001,1.4783714000004693,0.06193069999972067
7,0.15701546303565753,0.13129198283967697,0.4481198702561255,0.5152277172394524,0.5000000000000001,0.001,1.4902857999986736,0.07076019999840355
8,0.14349722439615004,0.1367901605881759,0.44688248092433724,0.4899217809867629,0.5500000000000002,0.001,1.4793634999987262,0.06600819999948726
9,0.13238060605694857,0.13801809531316256,0.43738038356439474,0.4962109730221279,0.5500000000000002,0.001,1.5013556000012613,0.07124000000112574
10,0.12245854622165445,0.14521670078400795,0.43074999356385674,0.48521959459459457,0.5000000000000001,0.001,1.4901695000007749,0.07978469999943627
