threshold,macro_f1,micro_f1
0.1,0.39407609475668615,0.46399601891017667
0.15000000000000002,0.42516974225202236,0.5092493137605919
0.20000000000000004,0.42960482258114424,0.5312795568166464
0.25000000000000006,0.41803294472217095,0.537816384603864
0.30000000000000004,0.4069567898661749,0.536174349833914
0.3500000000000001,0.38469422103310796,0.5270940245281378
0.40000000000000013,0.36298194165070347,0.5095788986580287
0.45000000000000007,0.3470815721699549,0.49338006230529596
0.5000000000000001,0.322453402381682,0.46884878148261444
0.5500000000000002,0.30042957671178605,0.44624228230785606
0.6000000000000002,0.2805620038180265,0.4191258043044154
0.6500000000000001,0.2588048507534514,0.38887606738979924
0.7000000000000002,0.2376104484154891,0.3615090735434575
