epoch,train_loss,validation_loss,validation_macro_f1,validation_micro_f1,threshold,learning_rate,training_seconds,validation_seconds
1,0.3344417783404462,0.11987944214525496,0.48789878798114533,0.577239848170164,0.5000000000000001,1.4814410480349346e-05,496.0735357501544,8.54670879105106
2,0.2103829108029295,0.11764171564662496,0.512836660707331,0.5813781909399439,0.6000000000000002,7.407205240174673e-06,494.9227736250032,8.543806083034724
3,0.18064892938975446,0.10905163907753204,0.5113646378609656,0.5852888410477216,0.5500000000000002,0.0,493.59795325016603,8.528084541903809
