threshold,macro_f1,micro_f1
0.1,0.3042834697309493,0.34354543074103167
0.15000000000000002,0.3582780407438908,0.40226468506723284
0.20000000000000004,0.39786583296419914,0.4454560234108275
0.25000000000000006,0.43026537140301463,0.48194192377495465
0.30000000000000004,0.4480376581422241,0.5087597053553653
0.3500000000000001,0.4662631306996201,0.5269473909782493
0.40000000000000013,0.4758584815440647,0.5427534980134738
0.4500000000000001,0.48386876054117095,0.5558559665724468
0.5000000000000001,0.4945469590299081,0.5658549358470804
0.5500000000000002,0.5051839351013997,0.5755405687269693
0.6000000000000002,0.512836660707331,0.5813781909399439
0.6500000000000001,0.5120250180597642,0.5819492322156063
0.7000000000000002,0.5047919771485208,0.5740802675585285
