threshold,macro_f1,micro_f1
0.1,0.37699695901141855,0.47392875580795046
0.15000000000000002,0.4011459686503603,0.5209448818897637
0.20000000000000004,0.3863838912024175,0.5378463296201086
0.25000000000000006,0.36625397951144745,0.5378243201000312
0.30000000000000004,0.3467609634247742,0.5353959979821759
0.3500000000000001,0.32680905133161986,0.523038382392413
0.40000000000000013,0.3077691827537681,0.5060468631897204
0.45000000000000007,0.2894543672153172,0.48556977090151743
0.5000000000000001,0.26940501952263307,0.4650103519668737
0.5500000000000002,0.24968390984183378,0.439076989432823
0.6000000000000002,0.23440171711468907,0.4173175630439634
0.6500000000000001,0.21677631968297506,0.3867531264474294
0.7000000000000002,0.1960015143327713,0.35691125255193945
