threshold,macro_f1,micro_f1
0.1,0.4518743239070434,0.541285403050109
0.15000000000000002,0.47188862582966706,0.57772261867825
0.20000000000000004,0.4737269738668443,0.5978763953171794
0.25000000000000006,0.4699605989048417,0.6052130619417191
0.30000000000000004,0.4585235425636605,0.6041973205296988
0.3500000000000001,0.4538012720260051,0.6032239587595123
0.40000000000000013,0.438976151319522,0.5943258764035313
0.4500000000000001,0.4257159094708662,0.5862222618304964
0.5000000000000001,0.4067185376441251,0.5703648548026806
0.5500000000000002,0.38518343310630987,0.5577835900416546
0.6000000000000002,0.36438083777154845,0.5377643504531722
0.6500000000000001,0.33365489436181484,0.5116962131543061
0.7000000000000002,0.3047042626636814,0.48355263157894735
