threshold,macro_f1,micro_f1
0.1,0.3374840618749723,0.4205420827389444
0.15000000000000002,0.34547068924138646,0.47253886010362695
0.20000000000000004,0.33313939846432644,0.49035576510930134
0.25000000000000006,0.3136750113555716,0.4960447463044347
0.30000000000000004,0.2862428471597818,0.4860821155184412
0.3500000000000001,0.25917187096329747,0.46296471478573453
0.40000000000000013,0.24112520970853368,0.4415821501014199
0.45000000000000007,0.2211014421945385,0.41406081518222987
0.5000000000000001,0.2079509140039162,0.381547551414612
0.5500000000000002,0.19061976039064724,0.3497254714729052
0.6000000000000002,0.168804352790632,0.30678834854356796
0.6500000000000001,0.15291486446481325,0.2676056338028169
0.7000000000000002,0.1350921974698413,0.2289725934926421
