epoch,train_loss,validation_loss,validation_macro_f1,validation_micro_f1,threshold,learning_rate,training_seconds,validation_seconds
1,0.14854820883032419,0.12246902579756799,0.1880121541623522,0.3950544943161842,0.1,0.001,1.036136599999736,0.0642217000004166
2,0.12010932000269403,0.11470381591786241,0.25807499907423403,0.40050517807527153,0.1,0.001,1.0547938999989128,0.0656288999998651
3,0.11524882064014502,0.11177327381182631,0.27379229058214755,0.41338701560140917,0.1,0.001,1.0617490000004182,0.0692233000008855
4,0.112731595965567,0.1103392201614828,0.2923898031618484,0.4172921044731312,0.1,0.001,1.074217299999873,0.06337159999930009
5,0.11092597107181788,0.1092981542256368,0.30616200449587133,0.41835635223822115,0.1,0.001,1.0810364999997546,0.06976310000027297
6,0.10962807408567674,0.10906251956572446,0.3182198912577245,0.43641772017422714,0.1,0.001,1.0715254999995523,0.0702168999996502
7,0.1086145623883353,0.1087061302537985,0.32877013973476465,0.42950836341451015,0.1,0.001,1.0814983999989636,0.06398039999839966
8,0.10771597957994168,0.10742537231846046,0.3406874260993721,0.4741331009151466,0.15000000000000002,0.001,1.0371414000001096,0.06585120000090683
9,0.10694218010424304,0.1074461289823956,0.3408573114564128,0.4257508206359316,0.1,0.001,1.0289607999984582,0.06640080000033777
10,0.10628770791600031,0.10699494578523738,0.34547068924138646,0.47253886010362695,0.15000000000000002,0.001,1.020709700000225,0.06584649999967951
