model,ood_threshold,ood_macro_f1,ood_micro_f1,ood_exact_match,in_domain_test_macro_f1,in_domain_test_micro_f1,macro_f1_drop,micro_f1_drop
baseline,0.5000000000000001,0.5728277674706247,0.5185185185185185,0.18,0.4303145392162932,0.5070991091314031,-0.1425132282543315,-0.011419409387115387
distilbert,0.6000000000000002,0.6470270800627944,0.6538461538461539,0.34,0.5057326137603909,0.5767034922517981,-0.1412944663024035,-0.07714266159435579
