epoch,train_loss,validation_loss,validation_macro_f1,validation_micro_f1,threshold,learning_rate,training_seconds,validation_seconds
1,0.14383742051708398,0.11333287926373603,0.2565491547447866,0.4344953292321713,0.1,0.001,6.767996000000494,0.12167389999922307
2,0.10647895288608833,0.10280212347759253,0.3397084254744622,0.4578052550231839,0.1,0.001,5.70771539999987,0.09482399999978952
3,0.09474812535282874,0.09943548184048853,0.38576180736510235,0.5212418300653595,0.15000000000000002,0.001,2.5055919000005815,0.06778160000067146
4,0.0863933073886664,0.0999129087589695,0.41115388726950436,0.518992796897125,0.15000000000000002,0.001,1.8026014999995823,0.09422110000014072
5,0.07975363963946745,0.1009233588091219,0.42613067791309905,0.5163557063242065,0.15000000000000002,0.001,1.437930399999459,0.0727141000006668
6,0.07411219751133234,0.10495474100266705,0.4317419849513323,0.5202377228651861,0.15000000000000002,0.001,1.5645653999999922,0.06987029999982042
7,0.06889809847643534,0.10865129727885331,0.43598422307182455,0.5140101336914719,0.15000000000000002,0.001,1.4596462999998039,0.06395789999987755
8,0.06422890794116543,0.11219147640293127,0.4318811209866027,0.5022980164489599,0.15000000000000002,0.001,1.4610483999986172,0.0636049999993702
9,0.060165306653049075,0.11815471309788149,0.42689418429919507,0.5034265604741619,0.15000000000000002,0.001,1.4348958999999013,0.06612900000072841
10,0.05631338759443228,0.124983903497095,0.42608275340411245,0.4954534283607766,0.15000000000000002,0.001,1.4507771999997203,0.07081950000065262
