threshold,macro_f1,micro_f1
0.1,0.42265311370887515,0.4793597304128054
0.15000000000000002,0.43598422307182455,0.5140101336914719
0.20000000000000004,0.4328234120033005,0.5294514085456261
0.25000000000000006,0.4218684183923905,0.535732572598932
0.30000000000000004,0.405640023626428,0.5344262295081967
0.3500000000000001,0.3907709366469784,0.5308009909165978
0.40000000000000013,0.37805053953085277,0.5231035977459905
0.45000000000000007,0.3587593737739699,0.5115520521880946
0.5000000000000001,0.3441801735061376,0.5009441087613293
0.5500000000000002,0.3276425353096379,0.48607146372674476
0.6000000000000002,0.3149896323159887,0.47090055135797426
0.6500000000000001,0.2986144541950262,0.4526026237833263
0.7000000000000002,0.2804046816472477,0.4254805052169138
