epoch,train_loss,validation_loss,validation_macro_f1,validation_micro_f1,threshold,learning_rate,training_seconds,validation_seconds
1,0.1415003428115078,0.11080931062259843,0.26499080244629164,0.4226951805996112,0.1,0.0008888888888888888,70.06777449999936,8.523412541951984
2,0.11093304668036344,0.10621580747915642,0.3092549129086441,0.42266924200310924,0.1,0.0006666666666666666,69.21251787501387,8.468571125064045
3,0.10682734529530911,0.10326820078082424,0.32675920114674606,0.4915146909827761,0.15000000000000002,0.0004444444444444444,69.54892058297992,8.464556082850322
4,0.10370383076481324,0.10134503038286329,0.34668380410020344,0.49432442328817283,0.15000000000000002,0.0002222222222222222,69.24161024997011,8.470144750084728
5,0.1012778295955366,0.09929048840932815,0.36944400875344174,0.49889042163977687,0.15000000000000002,0.0,69.30910762492567,8.454087458085269
