threshold,macro_f1,micro_f1
0.1,0.35400956879950135,0.4515723878073523
0.15000000000000002,0.36944400875344174,0.49889042163977687
0.20000000000000004,0.3448409260575474,0.5168290828668187
0.25000000000000006,0.32598657325052505,0.5200676610795018
0.30000000000000004,0.30329085502811465,0.5128591773477423
0.3500000000000001,0.27810426264378474,0.5007209805335257
0.40000000000000013,0.25297386502447744,0.4820304175142885
0.4500000000000001,0.22818782758030534,0.45783628136569315
0.5000000000000001,0.2097215844467976,0.42354223433242505
0.5500000000000002,0.182505815420467,0.38528937053262624
0.6000000000000002,0.16527802031218086,0.3478049963618724
0.6500000000000001,0.145827635049741,0.3026600483645157
0.7000000000000002,0.12719591684374612,0.2583808135683053
