experiment,best_epoch,threshold,validation_macro_f1,validation_micro_f1,test_macro_f1,test_micro_f1,test_loss,training_seconds,inference_seconds_per_example,trainable_parameters,total_parameters
class_weighted,7,0.5000000000000001,0.4481198702561255,0.5152277172394524,0.4303145392162932,0.5070991091314031,0.13226191479845206,14.937717799999518,1.1898378478220829e-05,4032552,4032552
finetune_embeddings,7,0.15000000000000002,0.43598422307182455,0.5140101336914719,0.43061481069100516,0.5067378900084982,0.1094466628527716,25.592768399998022,2.142494932731549e-05,4032552,4032552
lr_high,3,0.20000000000000004,0.42960482258114424,0.5312795568166464,0.41971256934739815,0.5272283933893254,0.10363645849552781,17.40719580000041,5.832701308267507e-05,4032552,4032552
lr_low,10,0.15000000000000002,0.4011459686503603,0.5209448818897637,0.3774097762279429,0.5100207325501037,0.1006015281330074,17.08160869999847,1.225749032582219e-05,4032552,4032552
frozen_embeddings,10,0.15000000000000002,0.34547068924138646,0.47253886010362695,0.3460373206571119,0.4709348720152231,0.1073000941494892,10.547769099996003,1.279415883547985e-05,84252,4032552
